62  Sm      40.1181   39.5224   45.413    5.6361    5.6090    6.2051    6.586     7.178
63  Eu      41.5422   40.9019   47.0379   5.8457    5.8166    6.4564    6.8432    7.4803
64  Gd      42.9962   42.3089   48.697    6.0572    6.0250    6.7132    7.1028    7.7858
65  Tb      44.4816   43.7441   50.382    6.2728    6.2380    6.978     7.3667    8.102
66  Dy      45.9984   45.2078   52.119    6.4952    6.4577    7.2477    7.6357    8.4188
67  Ho      47.5467   46.6997   53.877    6.7198    6.6795    7.5253    7.911     8.747
68  Er      49.1277   48.2211   55.681    6.9487    6.9050    7.8109    8.1890    9.089
69  Tm      50.7416   49.7726   57.517    7.1799    7.1331    8.101     8.468     9.426
70  Yb      52.3889   51.3540   59.37     7.4156    7.3673    8.4018    8.7S88    9.7801
71  Lu      54.0698   52.9650   61.283    7.6555    7.6049    8.7090    9.0489    10.1434
72  Hf      55.7902   54.6114   63.234    7.8990    7.8446    9.0227    9.3473    10.5158
73  Ta      57.532    56.277    65.223    8.1461    8.0879    9.3431    9.6518    10.8952
74  W       59.31824  57.9817   67.2443   8.3976    8.3352    9.67235   9.9615    11.2859
75  Re      61.1403   59.7179   69.310    8.6525    8.5862    10.0100   10.2752   11.6854
76  Os      63.0005   61.4867   71.413    8.9117    8.8410    10.3553   10.5985   12.0953
77  Ir      64.8956   63.2867   73.5608   9.1751    9.0995    10.7083   10.9203   12.5126
78  Pt      66.832    65.112    75.748    9.4423    9.3618    11.0707   11.2505   12.9420
79  Au      68.8037   66.9895   77.984    9.7133    9.6280    11.4423   11.5847   13.3817
80  Hg      70.819    68.895    80.253    9.9888    9.8976    11.8226   11.9241   13.8301
81  Tl      72.8715   70.8319   82.576    10.2685   10.1728   12.2133   12.2715   14.2915
82  Pb      74.9694   72.8042   84.936    10.5515   10.4495   12.6137   12.6226   14.7644
83  Bi      77.1079   74.8148   87.343    10.8388   10.73091  13.0235   12.9799   15.2477
84  Po      79.290    76.862    89.80     11.1308   11.0158   13.447    13.3404   15.744
8S  At      81.52     78.95     92.30     11.4268   11.3048   13.876    -         16.251
86  Rn      83.78     81.07     94.87     11.7270   11.5979   14.316    -         16.770
87  Fr      86.10     83.23     97.47     12.0313   11.8950   14.770    14.45     17.303
88  Ra      88.47     85.43     100.13    12.3397   12.1962   15.2358   14.8414   17.849
89  Ac      90.884    87.67     102.85    12.6520   12.5008   15.713    -         18.408
90  Th      93.350    89.953    105.609   12.9687   12.8096   16.2022   15.6237   18.9825
91  Pa      95.868    92.287    108.427   13.2907   13.1222   16.702    16.024    19.568
92  U       98.439    94.665    111.300   13.6147   13.4388   17.2200   16.4283   20.1671
93  Np      -         -         -         13.9441   13.7597   17.7502   16.8400   20.7848
94  Pu      -         -         -         14.2786   14.0842   18.2937   17.2553   21.4173
95  Am      -         -         -         14.6172   14.4119   18.8520   17.6765   22.0652
